id: 578742986160361473, text: Michelle Obama\u2019s Mom On Barack- \u2018At Least He\u2019s Not ALL WHITE!\u2019 http://t.co/Bz8ulxjAy7
id: 578742986411917313, text: RT @HiIarlous: Barack Obama singing shake it off by Taylor Swift. http://t.co/55Vm1QvlrG
id: 578742987741614080, text: RT @HiIarlous: Barack Obama singing shake it off by Taylor Swift. http://t.co/55Vm1QvlrG
id: 578742988517564416, text: RT @PresidentRaps: Barack Obama singing shake it off by Taylor Swift. http://t.co/VIgPn960pW
id: 578742988769222656, text: RT @PresidentRaps: Barack Obama singing shake it off by Taylor Swift. http://t.co/VIgPn960pW
id: 578742990379823105, text: RT @PresidentRaps: Barack Obama singing popped a Molly http://t.co/u4JfF1LNgr
id: 578742996469829632, text: RT @HiIarlous: Barack Obama singing shake it off by Taylor Swift. http://t.co/55Vm1QvlrG
id: 578742997967347712, text: RT @HiIarlous: Barack Obama singing shake it off by Taylor Swift. http://t.co/55Vm1QvlrG
id: 578742998285963264, text: RT @CooITweetsHere: and here we see the leader of our nation greeting Barack Obama http://t.co/W7CnszdQNt
id: 578743004636250112, text: RT @HiIarlous: Barack Obama singing shake it off by Taylor Swift. http://t.co/55Vm1QvlrG
id: 578743004845993984, text: \u201c@HiIarlous: Barack Obama singing shake it off by Taylor Swift. http://t.co/atbWgtYMv9\u201d \ud83d\ude02\ud83d\ude02\ud83d\ude02
id: 578743006465040384, text: RT @abbyclemens01: \u201c@PresidentRaps: Barack Obama singing popped a Molly http://t.co/rHX7Av8FxV\u201d @madelinec2633 @mischadj
id: 578743008746549248, text: RT @HiIarlous: Barack Obama singing shake it off by Taylor Swift. http://t.co/55Vm1QvlrG
id: 578743011128967169, text: RT @HiIarlous: Barack Obama singing shake it off by Taylor Swift. http://t.co/55Vm1QvlrG
id: 578743018053726209, text: RT @PresidentRaps: Barack Obama singing popped a Molly http://t.co/u4JfF1LNgr
id: 578743022290145280, text: RT @KevinJsAngels: Celebrity March Madness brackets by Miss USA, Barack Obama, Dana White, Alyssa Milano, Kevin Jonas and more http://t.co/\u2026
id: 578743030552793088, text: RT @Dory: and here we see the leader of our nation greeting Barack Obama http://t.co/7hl2DegEOg
id: 578743032125595648, text: RT @PresidentRaps: Barack Obama singing popped a Molly http://t.co/u4JfF1LNgr
id: 578743036697423872, text: RT @Dory: and here we see the leader of our nation greeting Barack Obama http://t.co/7hl2DegEOg
id: 578743043542671360, text: RT @EnEfectivoBlog: #Video Nicol\u00e1s Maduro env\u00eda un mensaje en ingl\u00e9s a Barack Obama http://t.co/UzK8TA1nqq
id: 578743054711943168, text: RT @Dory: and here we see the leader of our nation greeting Barack Obama http://t.co/7hl2DegEOg
id: 578743062156873728, text: RT @CooITweetsHere: and here we see the leader of our nation greeting Barack Obama http://t.co/W7CnszdQNt
id: 578743067483598848, text: RT @CooITweetsHere: and here we see the leader of our nation greeting Barack Obama http://t.co/W7CnszdQNt
id: 578743082042163201, text: \u201c@HiIarlous: Barack Obama singing shake it off by Taylor Swift. http://t.co/esm3mCkFte\u201d @FARRIStOfDemAll
id: 578743094352326657, text: RT @PresidentRaps: Barack Obama singing popped a Molly http://t.co/u4JfF1LNgr
id: 578743098215272449, text: RT @HiIarlous: Barack Obama singing shake it off by Taylor Swift. http://t.co/55Vm1QvlrG
id: 578743098596950016, text: RT @HiIarlous: Barack Obama singing shake it off by Taylor Swift. http://t.co/55Vm1QvlrG
